Unnamed: 0,CVEGEO,water_availability,economic_output,n_industy,distance_ciit,dist_to_border_km,dist_min_ports,highways,dist_min_km,gen_min_km,rails,pv_mean_annual_kwh,wind_mean,rainfall,crime,idx_resources,idx_energy,idx_logistics,idx_market,idx_security,RELMS_index,RELM_index,rank
1581,20557,0.3932202598211434,0.3378726879944915,0.6256930520036629,0.7547484752567071,0.7232513370933958,0.5205900286279036,1.0,0.4509000636646425,0.8419380669087939,1.0,0.76118098258271,0.996876575687006,0.8212921674167302,0.8514307429854822,0.7431424963768973,0.6464190652867182,0.7997179681956013,0.48178286999907716,0.8514307429854822,0.6910425002045587,0.6559090385912023,1
1020,20441,0.3932202598211434,0.3984038717803046,0.7600239154595557,0.7947398961380596,0.7112490437737664,0.6391365181302037,1.0,0.6049231846274441,0.4918916977390479,0.0,0.8297871459359827,1.0,0.8212921674167302,1.0,0.7610748932934641,0.548407441183246,0.6290250916084059,0.5792138936199301,1.0,0.6861317796025048,0.6244668932866632,2
1082,20124,0.3932202598211434,0.4374501130152608,0.785407407909223,0.7951660803183729,0.7016387095531009,0.6871735011440331,1.0,0.4898201639990041,0.4922152272075476,1.0,0.8011288804099432,0.876077378200635,0.8212921674167302,0.7171720540196672,0.722929671462113,0.49101769560327585,0.8367956582031013,0.6114287604622419,0.7171720540196672,0.6652063200206937,0.6528142394722309,3
1325,20014,0.3932202598211434,0.406341455285383,0.6632238178269455,1.0,0.6957750259665765,0.525972694381001,1.0,0.6148357848582164,0.6555495935401928,1.0,0.6270081563379899,0.836375857356862,0.8212921674167302,0.5896842520574764,0.6694741102331814,0.6351926891992046,0.8443495440695156,0.5347826365561643,0.5896842520574764,0.6468322661045497,0.6619645193221116,4
2339,31101,1.0,0.7585969961182005,0.6046876265251271,0.2519701784107128,0.4142288295261819,0.5322120912957059,1.0,0.4740547318183885,0.6045031832476992,1.0,0.6278767329345403,0.674983320762919,0.8212921674167302,0.6046625485289482,0.7810380552785474,0.5392789575330439,0.6396822198465201,0.6816423113216639,0.6046625485289482,0.6443234119077573,0.654638619663954,5
2099,29043,0.4346167842399759,0.5259532129361731,0.5603097698976152,0.3379813114590269,0.4245045459958001,0.2544063935278831,1.0,0.5799085823008484,0.8443498900142814,1.0,0.9418150994018106,0.5893469602058369,0.7947952132712555,0.668732778856004,0.6901435142797196,0.7121292361575648,0.603378450196542,0.5431314914168941,0.668732778856004,0.6403967565013665,0.6335023812856004,6
2098,29038,0.4346167842399759,0.5963934429504174,0.5453944419054412,0.3417638323531733,0.4261959164949985,0.2633730777280514,1.0,0.5294331797737487,0.6324521051293381,1.0,0.8849327531227871,0.590218997248112,0.7947952132712555,0.7645232988719857,0.6761409369705327,0.5809426424515434,0.6062665653152447,0.5708939424279293,0.7645232988719857,0.6358520167413612,0.6072218422287214,7
2091,29005,0.4346167842399759,0.7570866552844943,0.6973878152573164,0.339776667980322,0.4280459989798919,0.2589245361271073,1.0,0.5229230847430852,0.7383302414384763,1.0,0.932262206192837,0.6178367952245534,0.7947952132712555,0.5086287365465932,0.6948777497321554,0.6306266630907807,0.6053494406174643,0.7272372352709053,0.5086287365465932,0.6285687360550433,0.6627362817022788,8
2238,30059,0.5409829611285887,0.7161920568084198,0.4501424337437721,0.4876036003457871,0.6608502474186035,0.623325128348296,1.0,0.4294202372897416,0.5971164681413808,1.0,0.451150693173816,0.6781877255363592,0.9036320434281871,0.6639688805647354,0.6434883558167378,0.5132683527155611,0.7543557952225373,0.583167245276096,0.6639688805647354,0.6264414005285223,0.617395747096425,9
2046,29060,0.4346167842399759,0.5492347166823855,0.4501424337437721,0.339586808799773,0.4112172896375252,0.252561962264914,1.0,0.6608126100733696,0.6906601595088546,1.0,0.9248806509500204,0.6826470944984452,0.0,0.9257153714927412,0.5105361324221104,0.6757363847911121,0.6006732121404423,0.49968857521307886,0.9257153714927412,0.6256389660052452,0.567264189593061,10
2078,29048,0.4346167842399759,0.5868272288904182,0.5841664148538418,0.3396466472790185,0.4131234852830888,0.2539203187846706,1.0,0.7174349972038583,0.7318216267590335,1.0,0.9174988886567624,0.6990414484004357,0.0,0.725114210224383,0.5127892803242935,0.7246283119814458,0.6013380902693555,0.5854968218721299,0.725114210224383,0.6243394561633787,0.6014151626031766,11
2090,29039,0.3393034787428914,0.609704467017249,0.6233578967540168,0.3433064300932473,0.4313165136569483,0.2685087734789617,1.0,0.4572527308064403,0.5632756509106429,1.0,0.9036039406667976,0.5919583421001835,0.7789425991309047,0.7532318055434659,0.6534520901601943,0.5102641908585416,0.6086263434458314,0.6165311818856329,0.7532318055434659,0.6235175144803281,0.5947420685529996,12
