CVEGEO,idx_resources,idx_energy,idx_logistics,idx_market,idx_security
20557,0.7431424963768973,0.6464190652867182,0.7997179681956013,0.48178286999907716,0.8514307429854822
20441,0.7610748932934641,0.548407441183246,0.6290250916084059,0.5792138936199301,1.0
20124,0.722929671462113,0.49101769560327585,0.8367956582031013,0.6114287604622419,0.7171720540196672
20014,0.6694741102331814,0.6351926891992046,0.8443495440695156,0.5347826365561643,0.5896842520574764
31101,0.7810380552785474,0.5392789575330439,0.6396822198465201,0.6816423113216639,0.6046625485289482
29043,0.6901435142797196,0.7121292361575648,0.603378450196542,0.5431314914168941,0.668732778856004
29038,0.6761409369705327,0.5809426424515434,0.6062665653152447,0.5708939424279293,0.7645232988719857
29005,0.6948777497321554,0.6306266630907807,0.6053494406174643,0.7272372352709053,0.5086287365465932
30059,0.6434883558167378,0.5132683527155611,0.7543557952225373,0.583167245276096,0.6639688805647354
29060,0.5105361324221104,0.6757363847911121,0.6006732121404423,0.49968857521307886,0.9257153714927412
29048,0.5127892803242935,0.7246283119814458,0.6013380902693555,0.5854968218721299,0.725114210224383
29039,0.6534520901601943,0.5102641908585416,0.6086263434458314,0.6165311818856329,0.7532318055434659
31050,0.7797509935336244,0.7513387485851962,0.6491867270407361,0.8644601957776232,0.2727881299240646
29059,0.5024296738281891,0.6687643876218485,0.6000767122206667,0.5616643155264192,0.7914566825269261
31032,0.7605805752947548,0.37222696702141894,0.5826891935150211,0.534707685771933,1.0
31099,0.7636043009782544,0.49473600432070064,0.5849081251052254,0.39857832396292403,1.0
31102,0.7568501921143413,0.5701178871349207,0.5771099757745592,0.6493590740047741,0.5431683198140091
31093,0.5758977398392242,0.45657887826030313,0.6362367007962528,0.5220928311244308,1.0
29031,0.5850125974937697,0.5147280842430259,0.6077454769798539,0.6788988535964653,0.7028614859709643
20087,0.5900949316090193,0.8519775236412612,0.4611671422326419,0.473472033409441,0.7771461144782232
31091,0.7612919036059462,0.41088820328785786,0.5908430788196734,0.46026236936419884,1.0
29010,0.6438576115112271,0.6425912665223155,0.6036763394455031,0.6350065541152676,0.5238807753512185
31041,0.5838907220002905,0.5491316305500713,0.6411844203803775,0.694614427761175,0.5807482395941909
7071,0.5899429131588583,0.5850552615977133,0.7086985705196118,0.4318191159256437,0.7771461144782232
20409,0.5909263009046062,0.6091770030375213,0.6649546415199781,0.47223754096753523,0.725114210224383
20030,0.5450320356008773,0.6503574388567342,0.8365086273052071,0.3936707350440011,0.6963643413004936
29028,0.5700382348449105,0.5531612388052497,0.6030991032672668,0.638997575204297,0.668732778856004
20305,0.5182785634038729,0.5655944897672976,0.8367361715156576,0.3974755045160514,0.8275164340507248
29018,0.4815604398905587,0.6585851753310668,0.6038498371035848,0.6325399754632877,0.6639688805647354
20043,0.5038655352473466,0.5593329390994533,0.8180908748388221,0.7139812454322034,0.4878210238274196
30048,0.6382463642515663,0.5550449756518842,0.7696197265959265,0.7288596403352834,0.4028318892804721
15010,0.6597524462079143,0.6081440776367029,0.590478695675686,0.6283787420321241,0.5372945175374426
20010,0.58921876399581,0.4385034979263809,0.7893652977139013,0.5107247867900919,0.7645232988719857
20079,0.6664179887302268,0.3781993945288461,0.8763406190645074,0.7809665353178508,0.45410245906211
31013,0.8003334278803926,0.5096715528234982,0.4536785863456402,0.4542081601055743,0.9257153714927412
30026,0.5726585725098094,0.785317110755142,0.6386448238747302,0.503152034141469,0.5358750257235614
16105,0.5654349840435495,0.6044656494831154,0.5637759026431686,0.5861147519782837,0.6844442827380792
30120,0.6487384304583359,0.5240595938530327,0.7559632682047223,0.4218886320918831,0.7097780834867178
20005,0.5896818219802544,0.4851110971642156,0.8091878019842106,0.4459133048644388,0.7430174073632629
29041,0.4689735529196737,0.5967054361605313,0.5998395891529948,0.6914863967116025,0.6391266864816243
7040,0.5481507276074531,0.4931891335049908,0.7077442754535993,0.6073337817525075,0.6319793675308782
30082,0.6361183214281289,0.4349951432469378,0.775626452596662,0.5096949507574401,0.668732778856004
20045,0.604736495798064,0.47615684273112446,0.6498135731997615,0.5220810628347566,0.7430174073632629
29001,0.4816597894821916,0.6875467154878373,0.6027124290960058,0.3919461032546997,0.9257153714927412
29002,0.49257911625580303,0.7278351212724267,0.6022368840247844,0.52335238323032,0.6391266864816243
20550,0.5595129847099622,0.5016514872803319,0.6701999985893812,0.44996843862845703,0.8514307429854822
7012,0.5758600638063783,0.48334922166662087,0.5144064011569226,0.6458159007503508,0.7771461144782232
19046,0.47933033980736767,0.7867866198555127,0.6269877995903004,0.8345825304875037,0.3633914597742862
20553,0.5051651349733425,0.6176806208073914,0.6638478217100505,0.5333963239920076,0.6467849483079785
20145,0.6057875027714797,0.5588058980296322,0.6670636545408797,0.4293876062288355,0.725114210224383
31030,0.7618145829173331,0.38203695408311655,0.5912728119888385,0.4018249779284519,1.0
29004,0.6195000761158156,0.366684739614886,0.6143654959264537,0.4951723590126698,1.0
29014,0.6667640914382806,0.47916599908843466,0.5997257693609046,0.4608456701782073,0.7771461144782232
29015,0.446372694870091,0.5404006761782673,0.5972991536815224,0.6269378672177337,0.7532318055434659
30208,0.6055167926486689,0.4252624066881677,0.6840305261634669,0.5806034771953554,0.6550328681014498
31004,0.7900259785676915,0.47754647606066447,0.4460136550664336,0.480920380465583,0.8275164340507248
30207,0.5836780885786633,0.5077027716471954,0.6771904080677739,0.6494700998681219,0.513094802135306
13005,0.6138050904932455,0.4898229970420992,0.5956868030461665,0.5136577603935882,0.725114210224383
31002,0.5703223295919284,0.43848192304162337,0.6324144683745743,0.4772531005195811,0.8822616494359928
31019,0.7635202431395226,0.3688614228782874,0.5669346240542785,0.4891707291933143,0.8514307429854822
31052,0.7838870007091563,0.56331611047087,0.434009964678601,0.5220692766741217,0.6639688805647354
29026,0.4878025839839298,0.6410948326585456,0.6045114863067875,0.47866996221862246,0.7336923924214751
20248,0.5519405202421817,0.4150803201586394,0.6330087391610012,0.45208298699279603,1.0
31100,0.7724531737770978,0.5448944917890045,0.45657166380855074,0.34107366179335485,1.0
7091,0.6578992157074566,0.5681308354618476,0.512834814791669,0.3991833887351338,0.8514307429854822
29037,0.5138430661893397,0.41587427579587805,0.6090537612563114,0.5381635626313429,0.9257153714927412
16107,0.5808223168040879,0.5262424652469134,0.5677439735847173,0.7033216064367224,0.5290465977439713
29053,0.510449145965468,0.6896814412519199,0.3987579863188525,0.5358525384983076,0.8514307429854822
7001,0.5717880736565712,0.4952432368985788,0.709574784357619,0.41630874750159497,0.7645232988719857
