CVEGEO,long,lat
01001,-102.29670502338381,21.81089170356771
01008,-102.52558157439397,22.158717919809913
01011,-102.22902056014937,22.033061853756674
01009,-102.19212405449325,22.23695456759592
01007,-102.3407038556685,22.267520562806453
01006,-102.30250653309865,22.104504647388612
01004,-102.29702933591616,22.360615191462156
01005,-102.45264430244056,21.93555390458473
01010,-102.03617541991004,21.92184955247513
01003,-102.7032199714777,21.90352983295484
01002,-102.04546863032392,22.1265766490724
02007,-114.88814676135762,30.683073541189064
02003,-116.29098183725031,32.434877458916574
02004,-116.8472915123288,32.412129587968714
02001,-116.0585774650994,31.515331737172524
02006,-114.50764616536388,29.3836487529184
02005,-116.88916731116176,32.25172145896603
02002,-115.32937954842303,32.16907905970276
03001,-111.80548407173906,25.528895564740946
03008,-109.74180392970383,23.269926835853855
03003,-110.61919776014481,24.167117503514426
03002,-113.22355465478437,27.28995443238494
03009,-111.45638481337869,25.96112995603105
04008,-90.23286724858359,19.969620191712718
04005,-90.13528673096187,20.124468261595023
04003,-91.48381169592523,18.52394194344795
04012,-90.64055806370888,19.600190467028177
04001,-90.26981368676033,20.414264331285462
04010,-89.66166408392476,18.401937409896526
04006,-89.60908174414146,19.473440480402573
04011,-90.71650009210786,18.09902210056993
04004,-90.49377919842028,19.114300842965147
04013,-89.96889082667911,20.23960956300159
04002,-90.26581383034132,19.61625012716128
04009,-90.47445087131575,18.550532941293497
04007,-91.97373076197036,18.273401756622818
05010,-101.5283079405097,26.947689983023665
05036,-102.9248064643472,25.22176574359484
05018,-101.19435694372541,26.89688282760802
05029,-101.75647789797502,26.93982274002927
05007,-102.29857575101084,26.699116429771045
05032,-101.38966627019046,28.06393360477987
05006,-101.38674600458944,26.586199575153355
05003,-100.91602532838314,28.278339127581884
05012,-100.39375901864526,28.097268597062897
05009,-103.18094628424149,26.319784487303288
05005,-100.79931734430053,26.85240856117456
05004,-100.64230266121719,25.341399553386044
05016,-101.91368472287249,27.15053964252209
05035,-103.24852773807963,25.169738103310003
05014,-100.95123605112822,29.00269081158849
05008,-101.27943258413421,27.306061681593278
05019,-101.08340887947365,28.327779873285447
05038,-101.39448280368909,28.811977229255813
05037,-100.7803110366802,28.097330141372503
05001,-101.24572649972771,27.122418837698902
05017,-103.2150441848384,25.559779545076143
05002,-102.01007092169903,29.433134826916078
05026,-101.0211923460571,27.421522362187623
05021,-101.76521342752014,27.227630517178056
05013,-100.05048247462318,27.839295224347005
05024,-102.11430843807199,25.503471090780724
05020,-101.89923381695868,28.402642375736917
05023,-102.89240304477428,27.964135537827673
05022,-100.62050830177625,28.49643306811969
05015,-100.69331351239278,27.656576736052166
05011,-101.55092745444225,25.521579073946597
05034,-103.6095640257753,27.480233992589515
05033,-102.71821736512139,26.08391395092078
05031,-101.96745648124951,27.839463296614387
05030,-101.12501617950349,25.028886893287133
05028,-101.14294297977247,27.922725805345824
05027,-101.28155006783696,25.913688304676576
05025,-100.61440714451616,28.77979346426533
06009,-105.04709306416842,18.889957481416552
06005,-103.59544508530398,19.326749669130376
06010,-103.84841630677019,19.306688749333084
06008,-104.03108142311939,19.372068361484615
06002,-103.63242044687706,19.116175749225466
06007,-104.29477233426145,19.151080175679976
06006,-103.68132124941576,18.967590784761818
06003,-103.76650748684602,19.39650862042691
06001,-103.99660383958583,19.00852275515457
06004,-103.91217175362675,19.18728203728763
07106,-92.60790673573773,16.31728130475596
07090,-93.11230488814316,17.220102443761505
07022,-92.61180066270086,17.021258980255602
07073,-92.99826016527084,17.19137048956004
07042,-92.97862269532271,17.29853274831463
07036,-92.2183958538215,15.512987240378546
07121,-92.93322718286838,17.21768493789089
07119,-92.72154262653542,16.94935993030932
07124,-93.63244861211686,17.214780732728364
07123,-92.88264689696847,16.498866442722118
07067,-93.05688752396753,17.189166451418767
07091,-93.00343989826737,17.253970581239162
07114,-90.56251670846898,16.281662465757712
07069,-93.19235700685236,15.669471034448858
07081,-92.62501007990173,17.138941362619512
07080,-92.35724464768143,15.532333518294806
07065,-91.81209715411639,17.443956472582375
07077,-92.18634803598901,17.436759598736476
07086,-93.13632956441873,16.58552851789844
07010,-92.16128749524549,15.491748354098876
07011,-92.2424107272738,15.619575857743714
07024,-92.21698324713681,16.61151738943304
07028,-92.7259396027861,16.553969058658712
07122,-92.98652512159227,16.337416390023833
07001,-92.68169269261584,15.414123523039871
07002,-92.81463394520426,16.551563538045063
