CVEGEO,local_I,p_sim,quadrant,cluster
07061,0.9525323782712362,0.001,HH,HH
07062,0.4958224434095236,0.129,HH,ns
07063,0.8238093536181554,0.004,HH,HH
07064,0.09361992628464567,0.348,HH,ns
07065,0.5170211815142572,0.018,HH,HH
07066,0.3335815069792175,0.091,HH,ns
07067,0.7752236115028698,0.002,HH,HH
07068,0.6128217164401357,0.034,HH,HH
07069,0.8418888944347962,0.024,HH,HH
07070,0.07896633248170384,0.419,HH,ns
07071,3.1842872522730463,0.003,HH,HH
07072,0.6418157815312973,0.027,HH,HH
07073,1.2981454060222004,0.016,HH,HH
07074,0.8631486754881177,0.059,HH,ns
07075,0.5121876698377237,0.081,HH,ns
07076,0.441618113765639,0.034,HH,HH
07077,0.7907965565305856,0.025,HH,HH
07078,0.7182163471869597,0.007,HH,HH
07079,1.4115986609904276,0.004,HH,HH
07080,-0.2701106114296917,0.117,HL,ns
07081,0.44136582494217275,0.011,HH,HH
07082,-0.011092776086562017,0.114,LH,ns
07083,0.08703288407584278,0.192,HH,ns
07084,0.27148156797626793,0.063,HH,ns
07085,0.9481887570565554,0.013,HH,HH
07086,1.3130851785224333,0.011,HH,HH
07087,1.4917894945611216,0.034,HH,HH
07088,0.5496083559607068,0.034,HH,HH
07089,1.226575709729022,0.001,HH,HH
07090,0.36289897959526507,0.041,HH,HH
07091,1.3994287348610264,0.027,HH,HH
07092,0.47297367344390717,0.031,HH,HH
07093,0.35226103896622923,0.054,HH,ns
07094,0.7531746520837163,0.029,HH,HH
07096,0.6226701623378385,0.006,HH,HH
07097,1.7878298185911987,0.002,HH,HH
07098,0.6665883923727363,0.002,HH,HH
07099,-0.01019791615056155,0.479,LH,ns
07100,0.18911401576229,0.04,HH,HH
07101,1.442282342761704,0.002,HH,HH
07102,1.1110193447456977,0.009,HH,HH
07103,1.3135007143572783,0.005,HH,HH
07104,0.06654729685727298,0.441,HH,ns
07105,0.3651969193359106,0.152,HH,ns
07106,0.9138763995175301,0.002,HH,HH
07107,0.5442917097189804,0.003,HH,HH
07108,1.3416023021182402,0.002,HH,HH
07109,0.39264885352595746,0.081,HH,ns
07110,0.9287721192208209,0.006,HH,HH
07111,1.2231826856194108,0.005,HH,HH
07112,0.19660252754047833,0.152,HH,ns
07113,0.4346774325216432,0.201,HH,ns
07114,0.8189820414466847,0.066,LL,ns
07115,0.28012189331539195,0.201,LL,ns
07116,0.8776389150750683,0.082,LL,ns
07117,-0.06619300683531407,0.06,LH,ns
07118,0.47582157394524555,0.046,HH,HH
07119,-0.9747747155642478,0.058,LH,ns
07120,0.2539779279926972,0.308,LL,ns
07121,0.5164041293270892,0.002,HH,HH
07122,0.8791446307188095,0.013,HH,HH
07123,0.7255293579756287,0.031,HH,HH
07124,0.5017192403847854,0.048,HH,HH
07125,-1.1353973113627376,0.333,LH,ns
08001,0.25927402055256005,0.029,LL,LL
08002,-0.10147126692221406,0.104,HL,ns
08003,-0.16663783728074405,0.202,HL,ns
08004,-0.047592709376010595,0.415,HL,ns
08005,0.46301716707865587,0.033,LL,LL
08006,0.2911041952180329,0.271,LL,ns
08007,0.8897940926827282,0.014,LL,LL
08008,1.7831956506683788,0.038,LL,LL
08009,0.3483306526212545,0.007,LL,LL
08010,0.8438260518328452,0.03,LL,LL
08011,0.12533260998125337,0.049,LL,LL
08012,1.7367683190081802,0.006,LL,LL
08013,1.4025296806109186,0.004,LL,LL
08014,-0.044858457549907346,0.445,LH,ns
08015,0.8039742002814685,0.148,LL,ns
08016,0.342433745320717,0.187,LL,ns
08017,0.45951799387245024,0.007,LL,LL
08018,6.049617484146521,0.023,LL,LL
08019,0.10311530998692281,0.269,LL,ns
08020,1.3532348695142606,0.1,LL,ns
08021,0.5359897767184534,0.082,HH,ns
08022,3.5190159233755405,0.004,LL,LL
08023,2.221620761446478,0.039,LL,LL
08024,-0.04462076447821367,0.03,HL,HL
08025,0.5790626801436894,0.053,LL,ns
08026,2.6424980845671895,0.011,LL,LL
08027,0.7085930722446744,0.007,LL,LL
08028,1.1498796199903552,0.046,LL,LL
08029,0.9605935922966078,0.036,LL,LL
08030,1.3122679427999209,0.004,LL,LL
08031,-0.0744941847113002,0.005,HL,HL
08032,0.0321701248323097,0.169,LL,ns
08033,1.5176281582976405,0.046,LL,LL
08034,1.3071522101423185,0.024,LL,LL
08035,1.849371399494796,0.023,LL,LL
08036,-0.010810617377039042,0.347,HL,ns
08037,0.9224728472091085,0.083,LL,ns
08038,-0.4132660107448062,0.242,LH,ns
08039,0.0601542426057598,0.46,HH,ns
08040,0.6416233759161437,0.031,LL,LL
08041,4.018721328066444,0.061,LL,ns
08042,1.0832135669783287,0.139,LL,ns
08043,0.0031276846353133192,0.163,LL,ns
08044,-0.019644697593922202,0.42,HL,ns
08045,0.11541246488077506,0.397,HH,ns
08046,1.8101533407895813,0.055,LL,ns
08047,0.8615104127594447,0.08,LL,ns
08048,0.24825566350680253,0.054,LL,ns
08049,1.7928224055783593,0.011,LL,LL
08050,0.8280827440558035,0.013,LL,LL
08051,0.3376694357217829,0.004,LL,LL
08052,0.4721201051322281,0.014,LL,LL
08053,0.6230385403193532,0.064,LL,ns
08054,-0.3576334023956178,0.074,HL,ns
08055,-0.00475491411877552,0.433,HL,ns
08056,2.2294989267039487,0.007,LL,LL
08057,3.118703661952854,0.003,LL,LL
08058,-0.13783217410330548,0.469,LH,ns
08059,0.43649795123423746,0.045,LL,LL
08060,0.02437335607678749,0.416,LL,ns
08061,1.0926091756888145,0.044,LL,LL
08062,-0.5224638180234111,0.07,HL,ns
08063,0.4004635040250684,0.101,LL,ns
08064,1.9280081421030744,0.026,LL,LL
08065,1.3213537128753599,0.004,LL,LL
08066,2.334365780085079,0.003,LL,LL
08067,0.22974114804895637,0.037,LL,LL
09002,0.06810024471853277,0.404,HH,ns
09003,-0.01019527462733663,0.456,LH,ns
09004,0.5963929024455387,0.065,HH,ns
09005,-0.030458234954820796,0.327,HL,ns
09006,0.26276513437317656,0.222,LL,ns
09007,-0.004645591551058525,0.44,LH,ns
09008,0.2461848443024285,0.2,HH,ns
09009,0.04595919032943859,0.3,HH,ns
09010,0.11023638399847596,0.12,HH,ns
09011,0.14723242319320934,0.353,HH,ns
09012,0.05004650635521751,0.105,HH,ns
