CVEGEO,dist_min_km,gen_min_km
1001,45.984147954130776,5.71799471816342
1008,21.45487886072529,40.17946398508473
1011,23.755262473272047,20.013099061323175
1009,14.160841623571395,42.60056702993045
1007,4.58309807622031,44.81011408432603
1006,13.802491490787023,26.630860784787338
1004,15.07765885454507,54.83871677500594
1005,34.51237983074202,17.89590671045215
1010,45.17213729822064,27.59391825606426
1003,52.35612033950667,42.01320711798743
1002,31.201092865157335,38.88248666438606
2007,262.636428054039,228.27260935250078
2003,73.5159978783151,443.97863820390245
2004,20.97160459152635,484.9395070005901
2001,134.661092760494,369.05178161318037
2006,271.64052394457536,185.68311173803
2005,21.164368443238942,478.4646563183692
2002,165.94109206440186,355.96024467565695
3001,206.39894367068976,281.29852420371105
3008,18.72635273873507,45.16027650906768
3003,148.95733842983574,153.22768798801303
3002,94.37350973371474,242.7706217780314
3009,173.60308225247667,225.57894558151213
4008,32.96787603575843,119.5215472878379
4005,51.10173537970622,99.68501539360717
4003,79.57919602886959,37.0874274781801
4012,28.37611672039969,161.6136802727008
4001,69.5740800864665,81.99231974641222
4010,180.57286779617095,228.12583531212417
4006,101.78860049982757,160.37818449507216
4011,92.57764791622745,130.4251758976513
4004,78.51124821781428,147.70208834102607
4013,72.55924745366326,81.10958249438599
4002,34.37451240222522,156.41223513439206
4009,139.1395454200811,141.17243076936919
4007,69.43690778079072,44.82239122426693
5010,11.134489601920905,105.86137901809442
5036,45.65926001263063,65.6570888656872
5018,22.860479674525468,104.11102219471512
5029,32.98875867207609,116.84296653031066
5007,88.59682179067151,170.65522430102664
5032,35.74395688156923,35.729667170809094
5006,32.18403169165061,123.15809412203753
5003,53.074605921200714,23.84714303898678
5012,77.75883528137713,66.69348428896059
5009,64.88852769130555,89.6353206712106
5005,53.50015291035952,113.59801589311505
5004,37.10106689203035,35.49298790088708
5016,55.26549031530688,108.28254423947132
5035,39.86907825305642,47.53754246997423
5014,34.100737655939106,56.49454878103723
5008,46.29743824275709,60.55549708254116
5019,54.40666195843468,25.18422795525697
5038,71.04057793258264,59.22654861107568
5037,44.76132447522426,44.7361661048855
5001,29.618361437117525,79.83765798403792
5017,3.4072968068570906,25.659630029787518
5002,105.20433695982545,149.46712512934528
5026,47.18619104339852,47.2125359561386
5021,48.804789959362715,91.9708255172054
5013,106.05303143042418,106.04437980063403
5024,91.2614673143981,135.81472025116622
5020,98.06591413981386,97.63837275229702
5023,173.69934818211814,173.70526136321723
5022,88.3359642896883,28.024290604549783
5015,47.347733285620976,47.352252545587106
5011,56.33367345859515,103.74879589235753
5034,135.26050213586396,134.40261254265002
5033,44.48924466398029,95.44492995625104
5031,82.42475340111254,82.4330563763331
5030,47.94176862178954,57.4625011171574
5028,9.532892444995694,9.505285666246914
5027,58.91934366882544,75.03103756339358
5025,66.51998417236831,42.64680696284219
6009,144.30534234079678,64.84480425637018
6005,16.76175569820993,102.83038021263283
6010,14.109620171112383,76.2283552393647
6008,34.4826605268806,58.53475469020823
6002,17.562359754405083,99.55421018910455
6007,60.13280993149301,30.77379780205354
6006,31.086907483826067,98.27872171237473
6003,17.11886525989343,86.1670361738652
6001,38.25842973570431,65.6557631469247
6004,20.11580643453282,69.48590315617724
7106,42.918432502052944,74.75336327827605
7090,51.18268267151422,10.76205414637693
7022,31.537803384536538,49.796268281626844
7073,51.50234625815321,6.558458945719351
7042,63.29120050822431,6.810523119098067
7036,56.84715944510043,50.89279963374738
7121,57.14506945754775,9.38454525643848
7119,25.131040634932678,39.78142350561792
7124,4.669540129995124,64.84400597091756
7123,34.71713072821099,39.588378559974046
7067,49.14896269119436,7.885093644130777
7091,57.74769945816647,1.4307089684117635
7114,177.88928550169123,236.91018218260584
7069,69.10093037885936,76.20298246990734
7081,44.47195628720091,43.28880394353686
7080,45.26155718458743,42.47984491734607
7065,49.66035946852982,129.70840497832248
7077,55.74495444359651,90.57509514239649
7086,20.525117027774915,19.490741494609022
7010,61.14065786180908,54.34504359372589
7011,60.97028569367092,57.6242694634287
7024,33.763058093675994,99.35053906325648
7028,20.02605180594055,49.28016589589764
7122,33.409994406831196,49.572302755700896
7001,14.532510467305942,24.87846698540357
7002,25.46228040361852,41.2817713153659
7003,10.809803514073186,21.39761239230758
7004,36.19774974283148,135.07692373093315
7005,50.718350782077785,22.673777140246106
7006,68.7820225800253,64.1635844158238
7007,31.61463464766059,83.49746810893892
7029,26.916649400119702,6.321576798796066
7012,18.026160172277766,22.947884819942207
7013,36.9766594195896,16.60114921308286
7014,34.429106891325546,37.77965513086292
7015,16.058805001194983,21.235817501312084
7016,49.022381103118015,98.02925297781779
7019,65.0794824966202,114.37760983868712
7020,73.80191682902965,85.48225424092979
7021,37.23955933131679,23.955866411390247
