CVEGEO,economic_output
12076,10.782
12077,56.437
12078,11.765
12079,14.34
12080,16.977
12081,16.795
12082,21.561
12083,0.0
12084,2.282
12085,20.014
13001,175.114
13002,128.09
13003,3618.296
13004,22.259
13005,1111.088
13006,156.31
13007,176.976
13008,21911.785
13009,27.499
13010,116446.215
13011,20.992
13012,68.516
13013,9407.71
13014,40.332
13015,4.347
13016,340.653
13017,15.122
13018,22.526
13019,23.424
13020,0.892
13021,1278.269
13022,15.746
13023,113.635
13024,3.636
13025,44.922
13026,2.803
13027,28.895
13028,344.579
13029,4211.575
13030,300.947
13031,31.796
13032,80.356
13033,0.664
13034,0.0
13035,1105.305
13036,20.882
13037,29.613
13038,5.708
13039,72.017
13040,5.135
13041,262.367
13042,30.625
13043,3.286
13044,76.837
13045,8.113
13046,79.188
13047,5.011
13048,7916.856
13049,16.122
13050,710.071
13051,7096.229
13052,631.354
13053,15.902
13054,32.942
13055,3936.546
13056,549.36
13057,334.783
13058,29.588
13059,121.171
13060,22.686
13061,50889.178
13062,3.421
13063,26814.906
13064,8.43
13065,48.556
13066,2254.509
13067,196.973
13068,7.933
13069,28124.697
13070,245.83
13071,0.0
13072,91.981
13073,39.055
13074,1397.824
13075,644.935
13076,333.628
13077,3479.122
13078,12.051
13079,6.641
13080,58.963
13081,2851.613
13082,413.556
13083,355.666
13084,381.45
14001,272.81
14002,8103.808
14003,150.925
14004,11.137
14005,1870.856
14006,2998.052
14007,65.726
14008,13629.132
14009,3070.201
14010,78.618
14011,12.456
14012,13.141
14013,14681.161
14014,160.048
14015,3765.083
14016,2377.466
14017,64.073
14018,2158.168
14019,13.97
14020,41.099
14021,1616.003
14022,239.934
14023,2713.108
14024,1513.743
14025,123.114
14026,91.953
14027,30.281
14028,14.499
14029,31.193
14030,1629.454
14031,0.0
14032,19.935
14033,174.392
14034,8.714
14035,625.955
14036,176.198
14037,146.446
14038,5.571
14039,181779.731
14040,32.86
14041,35.037
14042,59.263
14043,136.061
14044,15153.691
14045,84.745
14046,1551.41
14047,457.703
14048,1922.025
14049,20.381
14050,187.757
14051,942.22
14052,44.392
14053,59349.785
14054,17.286
14055,103.249
14056,7.714
14057,29.944
14058,96.082
14059,66.381
14060,25.485
14061,10.813
14062,11.101
14063,18229.357
14064,100.482
14065,27.435
14066,4943.531
14067,2923.945
14068,29.911
14069,8.196
14070,75761.846
14071,0.0
14072,56.008
14073,12983.481
14074,1359.438
14075,17.939
14076,15.687
14077,646.582
14078,2171.192
14079,238.427
14080,7.783
14081,11.021
14082,2223.645
14083,8242.837
14084,115.428
14085,3098.857
14086,101.325
14087,56.943
14088,94.015
14089,14.247
14090,54.937
14091,266.086
14092,286.919
14093,21126.966
14094,14628.405
14095,25.187
14096,89.136
14097,116087.699
14098,109732.802
14099,28.124
14100,127.373
14101,10973.158
14102,257.976
14103,39.783
14104,20.343
14105,9239.733
14106,3.001
14107,22.173
14108,1318.12
14109,2448.11
14110,41.502
14111,232.015
14112,72.32
14113,247.517
14114,144.375
14115,46.766
14116,148.857
14117,14.486
14118,97.481
14119,280.609
14120,212291.062
14121,5996.363
14122,12.312
14123,431.277
14124,2322.119
14125,1590.217
15001,1228.686
15002,11108.796
15003,620.329
15004,28.166
15005,1656.962
15006,102.899
15007,22.639
15008,52.925
15009,1204.371
15010,7127.878
15011,281.539
15012,447.314
15013,18195.893
15014,24454.151
15015,187.922
15016,598.193
15017,11.159
15018,209.622
15019,383.87
15020,6090.282
15021,74.574
15022,828.733
15023,180.276
15024,52375.866
15025,11342.503
15026,156.968
15027,26.164
15028,314.722
15029,1880.257
15030,281.249
