CVEGEO,long,lat
01001,-102.29663736296173,21.810928017374298
01008,-102.5255933697684,22.158742878771758
01011,-102.2290133957783,22.033066798646875
01009,-102.1921221677327,22.23697022282921
01007,-102.34070594775181,22.267534635918985
01006,-102.30249165146022,22.104502975372405
01004,-102.29703319476545,22.3606231855262
01005,-102.45259958754964,21.935561108818984
01010,-102.03615000029144,21.921858340142414
01003,-102.70320689335462,21.903583589233346
01002,-102.0455169371087,22.12660613053725
02007,-114.89159560948343,30.684799253788384
02003,-116.2909252470137,32.43475991782422
02004,-116.84737185553966,32.41211167157461
02001,-116.06049732662714,31.516852129454126
02006,-114.51703116973044,29.38445087366204
02005,-116.88924786319907,32.25171419561983
02002,-115.3296515653581,32.169217797997646
03001,-111.80739410936349,25.53061647328652
03008,-109.74157505854343,23.270122521302817
03003,-110.62156273051352,24.16776919646118
03002,-113.22574724422198,27.289153663451618
03009,-111.45691384841548,25.961648185680417
04008,-90.23298392129735,19.969621846708677
04005,-90.13539704556449,20.12443604899732
04003,-91.48348825329109,18.524000829267358
04012,-90.64055367895156,19.600216557910706
04001,-90.26991825228998,20.414299524585243
04010,-89.66156829133246,18.402826412294463
04006,-89.60963875431679,19.474068754368954
04011,-90.7165588893487,18.09903588210896
04004,-90.49361404079174,19.114437383433934
04013,-89.96892954385872,20.239616843360377
04002,-90.26604429416552,19.61641341233104
04009,-90.47434465900994,18.55059551666674
04007,-91.97386685172185,18.273597171766735
05010,-101.52826449388,26.947693388014077
05036,-102.92495964354266,25.221864838101713
05018,-101.19438564104043,26.89685229157841
05029,-101.75648564158352,26.93982807963555
05007,-102.29897411136126,26.6990994397442
05032,-101.38975046298735,28.063951495305588
05006,-101.38691680858815,26.58623419227126
05003,-100.91599453799172,28.278343506234005
05012,-100.39378438627588,28.097401976787697
05009,-103.1808486530511,26.320141430044863
05005,-100.79924218810805,26.852448275310852
05004,-100.6423615834433,25.341353530074556
05016,-101.91371086172383,27.15054270782223
05035,-103.24891059842699,25.17007110433765
05014,-100.95125573370652,29.002697375513094
05008,-101.2795811347775,27.306060664099025
05019,-101.08334281733414,28.32774261283281
05038,-101.39500302122904,28.811969315886156
05037,-100.78029997203672,28.097387955099997
05001,-101.24577404710729,27.122390148388074
05017,-103.21505496312211,25.559820670553112
05002,-102.01001805166501,29.43259736505387
05026,-101.02147370461202,27.421417803644893
05021,-101.76541712666499,27.22772681343572
05013,-100.05049496651276,27.839316516822468
05024,-102.11465954686042,25.50386752269511
05020,-101.90045777023622,28.403013197411966
05023,-102.89288017196424,27.965614049476223
05022,-100.620480423425,28.49643384097012
05015,-100.69337021488984,27.65654163848081
