CVEGEO,distance_ciit
01001,1000.3738084913115
01008,1040.5281374238625
01011,1003.7291475506391
01009,1008.8418459228475
01007,1026.4987001723398
01006,1015.042856049624
01004,1025.6408357960709
01005,1022.172798364535
01010,979.3443712397888
01003,1046.9301576774155
01002,988.8712831743702
02007,2792.417890030129
02003,2835.8270529586034
02004,2889.069693645722
02001,2794.003676467756
02006,2945.631093465722
02005,2888.028063085383
02002,2732.086937588434
03001,3488.142853498603
03008,3829.0860710365687
03003,3690.292131797247
03002,3231.9519446396203
03009,3457.8829688687724
04008,674.9869401394061
04005,695.7148622007641
04003,468.99704140717125
04012,613.832611206855
04001,719.6732316404212
04010,661.8254685319174
04006,707.1168824543171
04011,536.4284989122469
04004,598.234631460408
04013,716.3422791987338
04002,640.844804515675
04009,579.5533905932754
04007,406.15642097360495
05010,1413.2215715998152
05036,1281.2114703320499
05018,1394.5525240415027
05029,1421.7484835343967
05007,1417.7018023401713
05032,1531.8367952889648
05006,1368.4225817265917
05003,1536.782971419802
05012,1495.2438661764004
05009,1413.1525958290047
05005,1373.3981951089515
05004,1200.356564548609
05016,1451.9616869699933
05035,1289.4663043279895
05014,1618.4398256692944
05008,1443.2804461028607
05019,1548.4103884177716
05038,1614.251008851338
05037,1510.9839815465784
05001,1421.6235918533682
05017,1330.809450078497
05002,1708.1038225937243
05026,1445.5108934811599
05021,1454.1626970967698
05013,1453.1606050557148
05024,1278.2459582174554
05020,1589.5474734076201
05023,1581.7261889578115
05022,1548.7707781109818
05015,1458.2560594852205
05011,1257.0499987245614
05034,1558.135351886302
05033,1367.0987719598418
05031,1530.446968344232
05030,1185.2388155425178
05028,1505.8956697920103
05027,1288.8662325404875
05025,1579.7707781109818
06009,1134.4945160902298
06005,1024.2935059634533
06010,1050.465078838707
06008,1072.778787337692
06002,1018.766594028872
06007,1090.8376618407374
06006,1017.1391770309023
06003,1045.6072144624382
06001,1053.2102448427677
06004,1051.0803025278567
07106,273.3847763108502
07090,241.7939392393398
07022,288.923881554251
07073,253.55129855222052
07042,259.5218613006977
07036,356.0071426749368
07121,261.2081528017129
07119,274.19595949289317
07124,185.13708498984744
07123,239.07106781186548
07067,246.55129855222052
07091,255.45079348883218
07114,486.4142135623731
07069,245.45079348883266
07081,292.3086578651012
07080,340.59292911256364
07065,392.87720036002537
07077,351.22034611053294
07086,214.3847763108502
07010,363.835569799683
07011,348.0365799264595
07024,316.5269119345811
07028,258.3847763108502
07122,232.3847763108502
07001,312.8061325481603
07002,248.9705627484771
07003,312.5046173579955
07004,356.84062043356585
07005,276.0782104868019
07006,366.52186130069816
07007,293.556349186104
07029,233.43860018001243
07012,205.81118318204295
07013,250.68124086713172
07014,274.923881554251
07015,384.4751801064728
07016,384.3746750430841
07019,318.9705627484771
07020,274.9533188057739
07021,221.58073580374338
07033,226.6934341759515
07053,367.2203461105334
07025,244.35028842544392
07026,291.0243866176394
07027,233.04163056034258
07030,323.5807358037436
07031,355.72287142747433
07055,394.901586977666
07023,273.3969696196699
07034,355.9949493661167
07075,295.4852813742385
07076,300.59292911256324
07038,299.42640687119274
07039,288.8650070512053
07040,344.303607231219
07041,362.87005768508874
07043,250.9066376115481
07044,249.9827560572968
07045,266.39191898578673
07046,153.24264068711926
07048,252.3330444827413
07052,360.4142135623731
07056,288.29646455628153
07054,360.83051916580047
07072,269.2081528017129
07111,258.84062043356585
07110,261.28427124746185
07051,288.563491861041
07050,405.3330444827413
07049,266.9533188057739
07096,316.9066376115481
07097,176.78174593052015
07099,362.5685424949237
07058,266.4142135623731
07060,235.37972567696673
07070,355.73506473629476
07063,232.88225099390843
07057,355.53405460951825
07101,220.42640687119277
07102,391.58787847868115
07103,355.8183258569804
07104,321.25483399593895
07079,219.29646455628153
07120,312.59292911256364
07107,221.22539674441606
07108,191.21320343559637
07109,326.2081528017129
07085,244.5391052434008
07088,237.39191898578673
07093,296.63961030678917
07098,264.72792206135784
07100,336.59292911256324
07105,392.303607231219
07112,309.6101730552663
07087,402.18585822512813
07113,276.36753236814695
