CVEGEO,water_availability,economic_output,n_industy,distance_ciit,dist_to_border_km,dist_min_ports,highways,dist_min_km,gen_min_km,rails,pv_mean_annual_kwh,wind_mean,rainfall,crime
5006,0,10499.95,145,1368.422582,227.2497834,578.2358708,1,32.18403169,123.1580941,1,1635.200007,16.52495003,400,151
5003,0,598.568,73,1536.782971,63.15432893,714.0302281,1,53.07460592,23.84714304,1,1617.680058,120.2407227,400,110
5012,0,0,2,1495.243866,72.38477631,674.9939087,1,77.75883528,66.69348429,0,1562.930024,112.6134491,400,0
5009,0,3245.823,160,1413.152596,371.5239533,476.7262282,1,64.88852769,89.63532067,1,1669.87493,34.85674667,200,135
5005,0,0,4,1373.398195,157.2375901,569.3187409,1,53.50015291,113.5980159,0,1511.830072,14.48634243,400,2
5004,0,35866.006,116,1200.356565,270.3797257,424.3194114,1,37.10106689,35.4929879,0,1441.384957,8.386995316,600,336
5016,0,10.092,12,1451.961687,228.3330445,631.1626793,1,55.26549032,108.2825442,1,1660.75007,16.08094215,400,2
5035,0,183792.083,2315,1289.466304,477.8670991,389.4568786,1,39.86907825,47.53754247,1,1619.870074,22.32983398,300,2775
5014,0,29.744,15,1618.439826,40.24264069,788.598301,1,34.10073766,56.49454878,1,1567.310054,108.2931595,400,49
5008,0,0,2,1443.280446,184.5269119,637.1894222,1,46.29743824,60.55549708,1,1543.585033,31.79597092,400,8
5019,0,177.134,28,1548.410388,72.39696962,726.1514442,1,54.40666196,25.18422796,1,1629.360082,98.30873108,400,25
5038,0,102.738,47,1614.251009,77.56854249,787.7985091,1,71.04057793,59.22654861,1,1583.735082,35.74008179,400,45
5037,0,5.378,15,1510.983982,77.35533906,690.2044605,1,44.76132448,44.7361661,1,1594.320011,131.8472443,400,5
5001,0,0,2,1421.623592,188.8111832,618.3124669,1,29.61836144,79.83765798,1,1574.610047,30.38478279,400,2
5017,0,8316.747,371,1330.80945,456.0559159,417.5733927,1,3.407296807,25.65963003,1,1849.454968,58.17348862,200,581
5002,0,27105.198,376,1708.103823,103.3137085,814.4805406,1,105.204337,149.4671251,1,1589.575007,23.08957672,400,1349
5026,0,,0,1445.510893,153.1421356,634.7931905,1,47.18619104,47.21253596,1,1497.59506,16.06093979,400,2
5021,0,8.68,24,1454.162697,214.5340546,647.7529195,1,48.80478996,91.97082552,1,1617.315085,20.80578995,400,22
5013,0,,0,1453.160605,60.35533906,636.1656176,1,106.0530314,106.0443798,0,1577.165036,128.1873932,500,0
5024,0,2185.167,150,1278.245958,348.9554108,506.1716203,1,91.26146731,135.8147203,1,1666.589994,31.67781067,400,251
5020,0,786.097,364,1589.547473,142.8650071,733.7330603,1,98.06591414,97.63837275,1,1444.66998,1.882292151,600,342
5023,0,3434.701,33,1581.726189,239.8893937,636.4411987,1,173.6993482,173.7052614,1,1509.640057,16.77146721,300,18
5022,0,95859.857,111,1548.770778,27.14213562,724.3445256,1,88.33596429,28.0242906,1,1568.040001,116.1334457,500,126
5015,0,0,3,1458.256059,114.6568542,642.4698691,1,47.34773329,47.35225255,0,1606.000035,101.7781982,400,0
5011,0,77.065,37,1257.049999,303.256926,502.6901955,1,56.33367346,103.7487959,1,1589.575007,13.61319447,200,76
5034,0,9.387,17,1558.135352,263.4802307,552.9477169,1,135.2605021,134.4026125,1,1668.78001,25.53928757,300,0
5033,0,2204.728,262,1367.098772,379.4701295,492.8660803,1,44.48924466,95.44492996,1,1706.37507,16.32046127,200,321
5031,0,226.916,111,1530.446968,181.764502,681.9378527,1,82.4247534,82.43305638,0,1624.980052,21.52050209,400,83
5030,0.762258,407352.925,3008,1185.238816,332.8772004,434.3886421,1,47.94176862,57.46250112,1,1610.380065,15.87973309,400,1563
5028,0,8055.844,266,1505.89567,112.2670273,689.1028553,1,9.532892445,9.505285666,1,1632.280045,56.97182846,400,322
5027,0,479117.157,527,1288.866233,249.0731599,514.3901484,1,58.91934367,75.03103756,1,1542.124965,26.71272469,400,710
5025,0,38673.913,468,1579.770778,13.3137085,753.2459872,1,66.51998417,42.64680696,1,1569.50007,112.5611954,500,1698
6009,4.480262,10360.849,595,1134.494516,1031.309883,79.52856941,1,144.3053423,64.84480426,1,1493.580003,8.540393829,1000,586
6005,0.527467,2176.885,152,1024.293506,969.2611101,81.65915069,1,16.7617557,102.8303802,1,1711.485047,6.988712311,1200,132
6010,0,863.766,611,1050.465079,982.4448763,56.68465848,1,14.10962017,76.22835524,0,1680.460033,1.213712215,1200,935
6008,0,29.447,34,1072.778787,982.314934,46.39341454,1,34.48266053,58.53475469,0,1549.424958,0.526373148,1500,54
6002,4.480262,4775.563,897,1018.766594,993.9179644,72.29183477,1,17.56235975,99.55421019,1,1662.209964,6.870504856,800,1632
6007,0,5253.628,566,1090.837662,1017.912914,11.10792991,1,60.13280993,30.7737978,1,1608.919997,3.065687656,1000,1971
6006,4.480262,8.625,18,1017.139177,1011.989032,67.48423792,1,31.08690748,98.27872171,0,1628.994935,6.567138195,700,28
6003,0.527467,123.324,147,1045.607214,968.7169542,69.22779347,1,17.11886526,86.16703617,0,1653.084929,1.487578273,1200,142
6001,0,699.868,174,1053.210245,1021.072293,33.98024942,1,38.25842974,65.65576315,1,1675.715029,2.684916496,1000,133
6004,0,78.276,82,1051.080303,997.9301577,45.05114772,1,20.11580643,69.48590316,1,1638.484943,1.57283771,800,160
7106,58.831968,5743.14,745,273.3847763,156.8528137,242.980843,1,42.9184325,74.75336328,0,1542.855086,4.813737392,1200,2
7090,190.085458,3.964,23,241.7939392,279.119841,134.9332039,1,51.18268267,10.76205415,0,1301.954968,15.33370399,3500,1
7022,577.409318,8.794,16,288.9238816,237.3380951,168.8489319,1,31.53780338,49.79626828,0,1324.584981,1.945173979,2000,1
7073,190.085458,47.612,60,253.5512986,270.7350647,139.515754,1,51.50234626,6.558458946,0,1433.71999,31.31481934,3500,1
7042,577.409318,24.14,34,259.5218613,282.3208512,128.1997991,1,63.29120051,6.810523119,0,1288.44999,4.848757267,4000,3
7036,697.527042,,24,356.0071427,51.38477631,326.9736537,1,56.84715945,50.89279963,0,1318.744969,1.285364985,3000,0
7121,190.085458,3.517,12,261.2081528,272.2497834,137.931045,1,57.14506946,9.384545256,0,1357.069976,31.6875,3500,0
7119,577.409318,0,2,274.1959595,232.8944443,172.421496,1,25.13104063,39.78142351,0,1489.929919,5.017464638,2000,0
7124,190.085458,14.433,39,185.137085,297.901587,133.3099643,1,4.66954013,64.84400597,0,1353.78504,12.43314457,3000,4
7123,58.831968,20.274,54,239.0710678,187.6934342,217.1333081,1,34.71713073,39.58837856,0,1707.46999,8.172481537,1200,2
7067,190.085458,12.776,35,246.5512986,273.6345597,138.9014416,1,49.14896269,7.885093644,0,1329.329985,21.69955254,1500,2
7091,577.409318,52.497,105,255.4507935,278.1492783,132.5899326,1,57.74769946,1.430708968,0,1395.759957,22.95941544,3500,3
7114,6.823576,369.621,87,486.4142136,271.0365799,368.6127731,1,177.8892855,236.9101822,0,1481.535006,27.0640583,2000,8
7069,303.352004,158.034,216,245.4507935,142.6101731,221.395678,1,69.10093038,76.20298247,1,1338.08996,8.075893402,3500,10
7081,577.409318,101.288,258,292.3086579,251.1665222,156.2843976,1,44.47195629,43.28880394,0,1400.139987,0.840057373,2000,13
7080,303.352004,,56,340.5929291,58.59797975,311.9836949,1,45.26155718,42.47984492,0,1281.51497,0.489233553,3500,3
7065,388.45366,1538.62,447,392.8772004,277.9116882,184.1264329,1,49.66035947,129.708405,1,1462.554989,3.325490475,3500,57
7077,577.409318,51.044,61,351.2203461,268.9411255,154.721133,1,55.74495444,90.57509514,1,1435.545032,11.51648426,3500,1
7086,58.831968,72.04,197,214.3847763,207.2914139,204.9188474,1,20.52511703,19.49074149,0,1528.985047,4.1460495,1200,3
7010,697.527042,,8,363.8355698,49.79898987,333.4769369,1,61.14065786,54.34504359,0,1432.260009,3.607998133,1200,1
7011,697.527042,,22,348.0365799,64.627417,321.9614209,1,60.97028569,57.62426946,0,1319.839977,0.17719321,2500,1
7024,30.605168,17.223,33,316.5269119,176.6984848,227.6822736,1,33.76305809,99.35053906,0,1504.895053,3.076860905,1500,1
7028,190.085458,15.952,35,258.3847763,189.0660172,214.4729755,1,20.02605181,49.2801659,0,1672.429919,7.611272335,1200,0
7122,58.831968,72.842,154,232.3847763,173.8355698,233.4243288,1,33.40999441,49.57230276,0,1637.390022,31.24865341,1200,8
7001,303.352004,69.506,119,312.8061325,75.254834,281.8899069,1,14.53251047,24.87846699,1,1426.419997,2.325159788,3500,8
7002,143.591609,47.047,133,248.9705627,191.7939392,212.6779077,1,25.4622804,41.28177132,0,1538.840029,7.202024937,1200,4
7003,303.352004,1011.72,108,312.5046174,75.55634919,279.3992551,1,10.80980351,21.39761239,1,1585.55995,11.70731544,0,11
