CVEGEO,dist_to_border_km
01001,639.5138520739876
01008,610.4549775709421
01011,611.6143571373758
01009,587.9575028878834
01007,590.5849198858531
01006,606.9280656363607
01004,578.5138520739876
01005,632.1412690719573
01010,616.7442994522868
01003,645.910821693658
01002,593.7442994522868
02007,230.7695526217004
02003,37.45584412271571
02004,19.142135623730955
02001,139.39696961966987
02006,387.29646455628176
02005,33.656854249492376
02002,52.41421356237309
03001,929.8082245892156
03008,1270.7514421272251
03003,1131.9575028878842
03002,673.6173157302042
03009,899.5483399593936
04008,628.5584412271584
04005,649.2863632885163
04003,409.68124086713186
04012,567.4041122946072
04001,673.2447327281735
04010,525.1858582251281
04006,608.5533905932758
04011,404.4751801064728
04004,523.6883835420693
04013,669.913780286486
04002,588.5584412271584
04009,464.58787847868115
04007,357.97056274847716
05010,225.0954544295048
05036,443.79603128039474
05018,194.16652224137027
05029,246.1198410471447
05007,294.07315985291933
05032,114.4091629284896
05006,227.24978336205567
05003,63.154328932550655
05012,72.3847763108502
05009,371.5239533417527
05005,157.23759005323575
05004,270.3797256769667
05016,228.3330444827413
05035,477.8670990922603
05014,40.24264068711928
05008,184.5269119345811
05019,72.39696961966992
05038,77.56854249492372
05037,77.3553390593273
05001,188.81118318204295
05017,456.0559159102167
05002,103.31370849898474
05026,153.14213562373092
05021,214.5340546095178
05013,60.35533905932732
05024,348.95541084682844
05020,142.86500705120528
05023,239.88939366884546
05022,27.142135623730955
05015,114.65685424949237
05011,303.2569260369932
05034,263.480230740355
05033,379.4701294725898
05031,181.76450198781703
05030,332.87720036002537
05028,112.26702730475864
05027,249.07315985291933
05025,13.313708498984763
06009,1031.3098833543834
06005,969.2611101191031
06010,982.444876303177
06008,982.314933988266
06002,993.9179643685956
06007,1017.912913734713
06006,1011.9890321804611
06003,968.716954241819
06001,1021.0722933011467
06004,997.9301576774157
07106,156.85281374238556
07090,279.1198410471447
07022,237.33809511662412
07073,270.7350647362943
07042,282.3208511739212
07036,51.38477631085023
07121,272.24978336205567
07119,232.89444430272812
07124,297.90158697766554
07123,187.6934341759515
07067,273.63455967290605
07091,278.1492782986674
07114,271.0365799264595
07069,142.61017305526627
07081,251.1665222413703
07080,58.59797974644661
07065,277.9116882454314
07077,268.9411254969542
07086,207.29141392239848
07010,49.79898987322332
07011,64.6274169979695
07024,176.69848480983495
07028,189.06601717798196
07122,173.83556979968256
07001,75.25483399593895
07002,191.7939392393398
07003,75.55634918610401
07004,190.91168824543135
07005,288.3502884254439
07006,60.284271247461874
07007,172.15432893255064
07029,253.29141392239848
07012,245.9898987322337
07013,249.66399692442877
07014,243.13708498984744
07015,4.414213562373095
07016,303.3847763108502
07019,138.79898987322332
07020,123.06601717798196
07021,269.9188309203682
07033,293.5756851698606
07053,35.970562748477136
07025,290.9482681718909
07026,228.26702730475864
07027,204.24978336205567
07030,89.66904755831207
07031,230.21320343559643
07055,11.485281374238571
07023,216.82337649086267
07034,82.87005768508878
07075,153.49747468305827
07076,271.16652224137033
07038,191.9827560572968
07039,265.48023074035507
07040,46.24264068711928
07041,145.46803743153538
07043,301.1198410471447
07044,225.35028842544392
07045,301.7350647362943
07046,237.30360723121856
07048,335.67619023324886
07052,167.53910524340083
07056,218.85281374238556
07054,39.65685424949237
07072,268.9360748630708
07111,209.9655121145936
07110,196.06601717798196
07051,99.49747468305823
07050,297.9827560572968
07049,232.37972567696673
07096,273.7817459305201
07097,211.2792206135784
07099,120.74011537017753
07058,171.68124086713175
07060,280.6051224213833
07070,44.0416305603426
07063,240.63455967290605
07057,32.5269119345812
07101,224.70562748477158
07102,6.414213562373095
07103,32.242640687119284
07104,121.28427124746187
07079,247.43354954612954
07120,75.4680374315354
07107,166.83556979968256
07108,196.84776310850265
07109,245.32590180780443
07085,240.49242404917499
07088,313.7472580451144
07093,210.71067811865464
07098,181.75230867899722
07100,256.25483399593895
07105,4.242640687119286
07112,219.3969696196699
07087,31.899494936611667
07113,229.65180361560886
07115,192.82337649086296
07117,86.8528137423856
07118,259.03657992645907
07047,254.93607486307081
07092,284.1320343559648
07018,268.1198410471447
07059,222.10764773832508
07061,248.44574285494963
07064,197.5979797464466
07066,236.12489168102775
07071,55.07106781186546
07078,197.26702730475864
07032,59.18376618407351
07125,66.56854249492375
07035,19.48528137423857
07062,313.3746750430841
07037,35.55634918610404
07068,316.67619023324886
07074,355.7472580451144
07082,229.74011537017753
07083,125.08326112068518
07084,293.5634918610405
07089,19.242640687119284
07008,96.50966799187796
07009,250.04877323527916
07017,267.5878784786807
07116,249.96551211459402
07094,181.53910524340083
08037,32.1126983722081
08021,202.7350647362943
08019,202.43860018001243
08001,138.31370849898474
08006,310.40916292848954
08052,26.55634918610405
08020,466.72287142747433
08041,426.9726547895311
08055,203.09040379562197
08032,321.26197667087575
08017,285.03657992645907
08043,336.112698372208
08016,210.923881554251
08023,182.72792206135784
08059,357.6173157302034
08015,85.52691193458112
08049,326.026478658694
08036,275.8284271247462
08060,360.9898987322337
08007,395.4701294725898
08008,445.3940110268417
08051,404.80613254815984
08067,285.4041122946068
08062,210.93607486307081
08061,267.73001410241176
08029,479.59502115361823
08003,310.1076477383246
08014,351.99494936611643
08018,304.64675298172614
08054,248.72287142747433
08058,258.17871555019013
08002,136.5391052434008
08065,459.1391770309023
08063,350.0193359837564
08022,273.0020920410538
08066,422.9655121145936
08004,182.9066376115481
08009,391.0437226013966
08010,209.55129855222052
08011,171.65685424949237
08012,340.8721497261428
08013,183.9482681718909
08053,64.32590180780446
08057,305.55844122715797
08044,359.63455967290605
08031,359.5340546095178
08056,329.5290039756352
08045,177.7350647362943
08046,467.3767670841391
08047,381.26702730475864
08025,279.112698372208
08048,274.5269119345811
08024,246.09040379562197
08064,354.11479041326214
08050,144.62741699796948
08026,268.9188309203682
08027,391.6955262170065
08028,121.50966799187792
08030,478.8549057834402
08033,342.5878784786807
08034,235.87005768508874
08035,127.43860018001246
08038,138.5096679918779
08039,317.5096679918779
08040,272.3208511739212
08042,95.19595949289321
08005,53.31370849898474
09005,752.9949493661164
09007,767.0954544295048
09015,762.2375900532357
09017,759.7523086789972
09013,780.7523086789972
09003,774.2375900532357
09008,785.2081528017129
09009,789.6812408671317
09010,777.3797256769667
09014,768.6518036156089
09011,773.0243866176394
09006,763.7523086789972
09002,757.8944443027281
09012,790.7228714274743
09004,781.2792206135783
09016,765.7228714274743
10009,461.8305191658
10017,392.26197667087575
10036,387.23759005323575
10021,539.3553390593272
10034,603.9970414071712
10024,492.5269119345811
10012,480.3380951166241
10039,549.4091629284895
10018,478.03657992645907
10011,449.923881554251
10005,639.367532368147
10010,403.0538238691622
10030,438.0710678118655
10029,464.24264068711926
10023,719.6639969244287
10033,649.5676759431504
10016,638.17070632348
10003,518.6396103067891
10004,545.4062043356618
10006,493.50670939905007
10025,425.26197667087575
10008,580.3553390593272
10027,448.89148570990045
10001,582.6812408671317
10035,522.2447327281731
10014,711.0357133746865
10022,609.8864350760178
10038,616.312841947211
10037,564.6122650963208
10019,601.102597104442
10028,531.7989898732233
10026,645.6467529817261
10015,488.7695526217004
10031,525.5189027078701
10007,449.7787873376921
10020,561.2426406871193
10032,559.3330444827412
10013,388.112698372208
10002,580.2274887854703
11044,722.5950211536182
