CVEGEO,wind_mean
01001,40.689449310302734
01008,15.157918930053711
01011,61.586219787597656
01009,61.193790435791016
01007,22.74875259399414
01006,45.162288665771484
01004,44.79206848144531
01005,31.02900505065918
01010,56.833961486816406
01003,20.25899314880371
01002,53.58961486816406
02007,9.958270072937012
02003,20.072921752929688
02004,26.887392044067383
02001,2.870661735534668
02006,2.409881114959717
02005,45.51646423339844
02002,39.247989654541016
03001,20.475561141967773
03008,4.025697708129883
03003,4.813137531280518
03002,10.072912216186523
03009,24.401466369628906
04008,68.37025451660156
04005,70.66766357421875
04003,74.86575317382812
04012,69.49634552001953
04001,75.955322265625
04010,23.80846405029297
04006,42.07170486450195
04011,40.48239517211914
04004,34.4273681640625
04013,71.04069519042969
04002,59.534690856933594
04009,33.71450424194336
04007,85.69220733642578
05010,47.279632568359375
05036,29.42908477783203
05018,17.51905059814453
05029,37.7666130065918
05007,12.154708862304688
05032,47.15254211425781
05006,16.52495002746582
05003,120.24072265625
05012,112.61344909667969
05009,34.856746673583984
05005,14.486342430114746
05004,8.386995315551758
05016,16.080942153930664
05035,22.329833984375
05014,108.29315948486328
05008,31.795970916748047
05019,98.30873107910156
05038,35.740081787109375
05037,131.8472442626953
05001,30.384782791137695
05017,58.17348861694336
05002,23.089576721191406
05026,16.06093978881836
05021,20.805789947509766
05013,128.18739318847656
05024,31.677810668945312
05020,1.8822921514511108
05023,16.771467208862305
05022,116.1334457397461
05015,101.7781982421875
05011,13.613194465637207
05034,25.539287567138672
05033,16.32046127319336
05031,21.5205020904541
05030,15.879733085632324
05028,56.97182846069336
05027,26.712724685668945
05025,112.56119537353516
06009,8.540393829345703
06005,6.988712310791016
06010,1.213712215423584
06008,0.5263731479644775
06002,6.870504856109619
06007,3.065687656402588
06006,6.567138195037842
06003,1.487578272819519
06001,2.6849164962768555
06004,1.5728377103805542
07106,4.813737392425537
07090,15.333703994750977
07022,1.945173978805542
07073,31.3148193359375
07042,4.848757266998291
07036,1.2853649854660034
07121,31.6875
07119,5.017464637756348
07124,12.433144569396973
07123,8.172481536865234
07067,21.699552536010742
07091,22.959415435791016
07114,27.064058303833008
07069,8.07589340209961
07081,0.840057373046875
07080,0.4892335534095764
07065,3.3254904747009277
07077,11.516484260559082
07086,4.146049499511719
07010,3.6079981327056885
07011,0.17719320952892303
07024,3.0768609046936035
07028,7.61127233505249
07122,31.248653411865234
07001,2.325159788131714
07002,7.202024936676025
07003,11.707315444946289
07004,0.918649435043335
07005,5.3051629066467285
07006,0.42868736386299133
