CVEGEO,dist_min_ports
1001,332.0189366723534
1008,327.83273115369707
1011,348.39109889633585
1009,362.0532490410212
1007,350.36880779146134
1006,345.1246755558849
1004,359.51042189348107
1005,322.9023385443483
1010,361.5906567421675
1003,298.1513916353515
1002,369.94577355474377
2007,210.11492407975908
2003,71.08206780139183
2004,64.83986506228338
2001,65.48213937278898
2006,340.65414738433253
2005,50.24150615055475
2002,126.93924677353303
3001,204.76110097230446
3008,46.002007840513414
3003,32.369982905792824
3002,241.06113243622212
3009,219.36367657255957
4008,158.36209321866457
4005,138.68700294026368
4003,182.40527683233412
4012,213.59956311073358
4001,116.19949257015804
4010,320.29303971968534
4006,201.7966056419818
4011,266.08715766147407
4004,256.599731231909
4013,121.18965882428765
4002,196.26771578719715
4009,288.9794559090195
4007,131.67696514748914
5010,618.6042235424907
5036,420.0530420622295
5018,594.729469250398
5029,627.2585125722254
5007,569.13510072729
5032,714.613256407735
5006,578.2358707849971
5003,714.0302281197513
5012,674.9939086599805
5009,476.7262282337107
5005,569.3187408927685
5004,424.31941136845177
5016,631.1626793197296
5035,389.4568786043007
5014,788.5983009892633
5008,637.1894222368238
5019,726.151444225095
5038,787.7985090541972
5037,690.2044605090726
5001,618.3124669263469
5017,417.57339272868836
5002,814.4805406230687
5026,634.793190455424
5021,647.7529195169495
5013,636.1656175516448
5024,506.1716202564274
5020,733.7330602734596
5023,636.4411987334539
5022,724.3445256374598
5015,642.4698691408323
5011,502.69019549532817
5034,552.9477168894648
5033,492.8660802939553
5031,681.9378526636677
5030,434.3886420964322
5028,689.1028553299524
5027,514.3901484100411
5025,753.245987225284
6009,79.52856941022341
6005,81.65915068954163
6010,56.68465847607257
6008,46.3934145415051
6002,72.29183476896341
6007,11.107929909263984
6006,67.48423791862264
6003,69.22779346884059
6001,33.980249421710106
6004,45.05114772484388
7106,242.98084301473358
7090,134.93320391013236
7022,168.84893193516567
7073,139.5157539610282
7042,128.19979905101926
7036,326.9736537235148
7121,137.93104501819428
7119,172.4214960493883
7124,133.30996434400066
7123,217.1333080854843
7067,138.9014415971133
7091,132.58993256252924
7114,368.61277313514097
7069,221.39567798156747
7081,156.28439758756213
7080,311.98369485562404
7065,184.12643287310655
7077,154.7211330058917
7086,204.91884736262423
7010,333.47693685310975
7011,321.9614208866133
7024,227.6822736148035
7028,214.47297548096208
7122,233.4243287779361
7001,281.8899069198957
7002,212.67790772199922
7003,279.3992550880918
7004,242.79804050035924
7005,122.0337059350859
7006,338.61646256766244
7007,229.40820003630571
7029,159.75595961989308
7012,174.07176464505966
7013,159.55423642158277
7014,163.0934870359026
7015,346.3073979512379
7016,147.25877751705
7019,260.76347302580524
7020,260.3691966683271
7021,148.56420267263232
7033,126.57109721559964
7053,334.2292039713844
7025,123.01154948763303
7026,177.797943389813
7027,203.9372020758315
7030,302.8916205294653
7031,192.41778885158462
7055,354.0035070877246
7023,187.46838975643004
7034,318.9590221377569
7075,246.0470425395018
7076,138.79256907334633
7038,210.98850464640975
7039,142.76798003647954
7040,307.65073510422076
7041,288.97551495124964
7043,112.867136906475
7044,182.0760272988084
7045,110.03322368592468
7046,167.46375312919915
7048,81.515669540401
7052,275.32634314365794
7056,185.8267347518646
7054,322.4777627160469
7072,139.69286889529226
7111,195.00409121832752
7110,207.17438278148515
7051,258.8403210688927
7050,179.51731293862827
7049,173.42777720845262
7096,139.76126124667886
7097,162.07951135835012
7099,300.97976641202825
7058,230.0300013154534
7060,134.52384196003038
7070,324.39298875223477
7063,171.01431973180865
7057,321.089476510809
7101,187.8959452578247
7102,350.9463202667266
7103,319.32002194528104
7104,275.5163672479057
7079,168.5241644594472
7120,284.7209293786523
7107,210.43023849591467
7108,195.54495855104034
7109,167.0204434022532
7085,168.7173269933892
7088,104.9091220290752
7093,193.80956960669835
7098,220.39467439275384
7100,160.2291588082082
7105,353.5288878508661
7112,187.80554105364482
7087,360.6395487936461
7113,176.3409011552376
7115,323.50540702122544
7117,276.47537377912784
7118,148.22240306445326
7047,153.15078115061382
7092,141.1741366793394
7018,145.82624479194726
7059,276.1310438389638
7061,176.87174682214822
7064,208.2178492673323
7066,171.4905448252009
7071,297.5264005535329
7078,205.28454281718774
7032,296.19343678396467
7125,299.8262696279051
7035,356.33896626178785
7062,112.89179611416832
7037,323.64080141773775
7068,100.19510297633278
7074,63.30363848417398
7082,179.65097170106768
7083,272.5575985497496
7084,118.06368388546917
7089,338.72717910702227
7008,272.96608095220614
7009,134.8126479306319
7017,154.1682889063134
7116,356.8398793795551
7094,220.37119259485632
8037,573.0011382416287
8021,450.2677907888828
8019,468.5182557212719
8001,520.4483092397653
8006,367.53081031735235
8052,611.1749675138212
8020,212.14719783932077
8041,269.6968498897784
8055,436.69808625532534
8032,374.8954217958971
8017,396.48377830349835
8043,326.3065096792112
8016,472.5626120446685
8023,401.98527513281056
8059,341.0733644428641
8015,590.5453971484209
8049,310.38585179315277
8036,477.01574772041
8060,352.56763379869324
8007,281.12932950546514
8008,201.23144125551994
8051,265.11135154036344
8067,384.5845434686538
8062,454.3241412733598
8061,372.75048751401715
8029,211.47940772891116
8003,408.65042577489356
8014,404.94672840398005
8018,359.5833741555966
8054,429.0636059584748
8058,427.7665331769521
8002,514.930925804477
8065,209.3711403206644
8063,288.74930861549467
8022,369.85311870463806
