,CVEGEO,water_availability,economic_output,n_industy,distance_ciit,dist_to_border_km,dist_min_ports,highways,dist_min_km,gen_min_km,rails,pv_mean_annual_kwh,wind_mean,rainfall,crime
0,1001,0.0,0.9588646656625288,0.886863277179114,0.2147370082405352,0.49840758258882834,0.17211479125517126,1.0,0.315369849672515,0.6957576499085406,1.0,0.929222705731011,0.559047139716322,0.7606458862803938,0.06453930727911383
1,1008,0.29363174928590924,0.295487566502146,0.4406477225796021,0.20844365165695244,0.521351658832123,0.17454593335575197,1.0,0.4477889419258647,0.4011007448982725,0.0,0.7689969296490229,0.41660918055434937,0.7789425991309047,0.5526306442751081
2,1011,0.0,0.8177977271696191,0.5858617051117035,0.21420155056135826,0.5204362450859923,0.16289144195748362,1.0,0.4302963011611731,0.5104371510179586,1.0,0.9565784169378853,0.6201041266421915,0.7390115964200016,0.3753115183367006
3,1009,0.0,0.6764817337784047,0.4320288770750036,0.21338907542484786,0.5391150369132525,0.15551976956135682,1.0,0.5182386187461501,0.39181641222886965,0.0,0.9366044680242689,0.6191588920563407,0.7390115964200016,0.5317259889304533
4,1007,0.0,0.6414113624403206,0.5775559524306617,0.21061446426253416,0.537040501785678,0.16180666875492578,1.0,0.6974104344735681,0.3837827203375379,1.0,0.9387755989399846,0.4744837124252788,0.7390115964200016,0.3968874785404082
5,1006,0.0,0.46563403605174164,0.5435301114473258,0.21240915542030925,0.5241364100557789,0.16469659219663324,1.0,0.522528887542008,0.4659436922739497,1.0,0.9522361551064538,0.5743626096897032,0.7390115964200016,0.4086942135592595
6,1004,0.0,0.46826815060127075,0.41016683443920954,0.21074816391214612,0.546571480013496,0.15687055555320417,1.0,0.5077077626579601,0.3516116139047004,1.0,0.923143704807359,0.5731525359599318,0.0,0.5317259889304533
7,1005,0.0,0.8265488982412111,0.7166564726654558,0.2112898047047257,0.5042287683505436,0.17744927063783367,1.0,0.3655768293454018,0.5276959358314319,1.0,0.904906702036403,0.5194332669681031,0.7606458862803938,0.2826760663231517
8,1010,0.0,0.5454549081074525,0.4320288770750036,0.2181343842202107,0.5163857858163229,0.15576479974154345,1.0,0.31849669870878783,0.46037594114471103,0.0,0.9313938366467271,0.608236931688465,0.7390115964200016,0.5226273100076635
9,1003,0.0,0.5569053326145578,0.5891730177511487,0.20746274824016953,0.49335671392340996,0.1927263241994468,1.0,0.2925596129273267,0.39402054060257086,0.0,0.8059053270144301,0.45784056649237986,0.7606458862803938,0.4300567337219686
10,1002,0.2876092971283846,0.3577061573750162,0.499940907199288,0.21658634014401634,0.5345459438616893,0.15138661286025967,1.0,0.38313238675287165,0.40630148658766774,1.0,0.9418150994018106,0.5995610791920776,0.7390115964200016,0.47430138235870334
11,2007,0.08337895190873504,0.32885753517192884,0.42264634525502465,0.050521701643167716,0.8211406729451822,0.25971111118581214,1.0,0.006023350589191234,0.12207381712466747,0.0,0.58228401895671,0.35825434990250377,0.0,0.4842778890646183
12,2003,0.09324346385984865,0.7721650984141297,0.6532468650270394,0.048053365631078315,0.973775781583333,0.46623031563106,1.0,0.23265013754349162,0.014310376486066145,1.0,0.7668257987333067,0.45651946493612156,0.0,0.2915312741233964
13,2004,0.0,0.9648589907093215,0.883952081824066,0.045076945050940176,0.9882357746589128,0.48363820048692485,1.0,0.45169119304441074,-2.220446049250313e-16,1.0,0.6261397867918796,0.498624868464058,0.0,0.030521047365032472
14,2001,0.0,0.7656060581441675,0.7448493961598132,0.050430857464528134,0.8932859141769318,0.48177252302282103,1.0,0.12518960310625815,0.044274704970299505,0.0,0.6508901823099831,0.2018660331355729,0.0,0.16253028204559805
15,2006,0.0,0.4975700658598089,0.5670474622191726,0.04197447308502811,0.6975513921153927,0.16719498561497126,1.0,1.1102230246251565e-16,0.15546969784451348,0.0,0.4732957730031486,0.18281875081559,0.0,0.3908903859825862
16,2005,0.05065426063954803,0.676458810643572,0.6534692226756817,0.04513464763053132,0.976775357953354,0.5318137641430262,1.0,0.4501245069112718,0.002179917164773726,0.0,0.712983159966549,0.5755111923021229,0.0,0.29868854109839194
17,2002,0.12115274162023607,0.9216620618690962,0.8324036183775732,0.05401671172242406,0.9619650705778914,0.35596535140938823,1.0,0.08797656752576644,0.05012811406298878,1.0,0.6977854506069787,0.5537591984751156,0.0,0.06246060495752981
18,3001,0.14976353122991348,0.5690983674919964,0.623946528160716,0.014923568818171806,0.269199248477653,0.2646476851865933,1.0,0.049055702893818,0.08826284443406962,0.0,0.8176291440886787,0.4593637089253884,0.0,0.42849217943672113
19,3008,0.0,0.603081562084285,0.7621156978241301,0.0,1.1102230246251565e-16,0.548410590432994,1.0,0.471024977968752,0.3825452451563791,0.0,0.7238384004442475,0.24110911695259263,0.7125442614903211,0.15828704906262592
