,CVEGEO,crime
1858,24024,283
1859,24025,92
1860,24026,16
1861,24027,19
1862,24028,8138
1863,24029,21
1864,24030,14
1865,24031,7
1866,24032,112
1867,24033,11
1868,24034,26
1869,24035,1448
1870,24036,46
1871,24037,170
1872,24038,8
1873,24039,16
1874,24040,89
1875,24041,20
1876,24042,41
1877,24043,22
1878,24044,23
1879,24045,40
1880,24046,94
1881,24047,5
1882,24048,4
1883,24049,66
1884,24050,176
1885,24051,47
1886,24052,21
1887,24053,50
1888,24054,76
1889,24055,140
1890,24056,47
1891,24057,44
1892,24058,36
1893,24059,212
1894,25001,1246
1895,25002,87
1896,25003,17
1897,25004,67
1898,25005,31
1899,25006,5444
1900,25007,62
1901,25008,325
1902,25009,162
1903,25010,132
1904,25011,528
1905,25012,2646
1906,25013,59
1907,25014,125
1908,25015,137
1909,25016,52
1910,25017,28
1911,25018,334
1912,25019,8
1913,25020,21
1914,26001,3
1915,26002,133
1916,26003,15
1917,26004,28
1918,26005,4
1919,26006,2
1920,26007,0
1921,26008,1
1922,26009,8
1923,26010,1
1924,26011,1
1925,26012,99
1926,26013,5
1927,26014,3
1928,26015,1
1929,26016,10
1930,26017,173
1931,26018,1215
1932,26019,36
1933,26020,4
1934,26021,2
1935,26022,1
1936,26023,10
1937,26024,0
1938,26025,86
1939,26026,34
1940,26027,1
1941,26028,0
1942,26029,312
1943,26030,1996
1944,26031,2
1945,26032,1
1946,26033,46
1947,26034,0
1948,26035,20
1949,26036,86
1950,26037,4
1951,26038,7
1952,26039,2
1953,26040,0
1954,26041,23
1955,26042,215
1956,26043,554
1957,26044,1
1958,26045,3
1959,26046,2
1960,26047,9
1961,26048,91
1962,26049,7
1963,26050,1
1964,26051,8
1965,26052,20
1966,26053,0
1967,26054,0
1968,26055,346
1969,26056,5
1970,26057,1
1971,26058,40
1972,26059,0
1973,26060,5
1974,26061,1
1975,26062,0
1976,26063,1
1977,26064,8
1978,26065,2
1979,26066,51
1980,26067,0
1981,26068,0
1982,26069,6
1983,26070,116
1984,26071,45
1985,26072,15
1986,26998,0
1987,26999,0
1988,27001,30
1989,27002,354
1990,27003,141
1991,27004,2687
1992,27005,558
1993,27006,374
1994,27007,56
1995,27008,323
1996,27009,44
1997,27010,173
1998,27011,12
1999,27012,196
2000,27013,225
2001,27014,165
2002,27015,35
2003,27016,100
2004,27017,50
2005,28001,21
2006,28002,50
2007,28003,628
2008,28004,12
2009,28005,6
2010,28006,4
2011,28007,17
2012,28008,1
2013,28009,645
2014,28010,2
2015,28011,19
2016,28012,46
2017,28013,49
2018,28014,2
2019,28015,15
2020,28016,21
2021,28017,47
2022,28018,19
2023,28019,22
2024,28020,2
2025,28021,285
2026,28022,1183
2027,28023,7
2028,28024,12
2029,28025,94
2030,28026,7
2031,28027,401
2032,28028,3
2033,28029,19
2034,28030,30
2035,28031,6
2036,28032,3159
2037,28033,327
2038,28034,6
2039,28035,116
2040,28036,1
2041,28037,39
2042,28038,634
2043,28039,57
2044,28040,86
2045,28041,1882
2046,28042,2
2047,28043,53
2048,29001,1
2049,29002,28
2050,29003,5
2051,29004,0
2052,29005,97
2053,29006,48
2054,29007,3
2055,29008,13
2056,29009,0
2057,29010,84
2058,29011,8
2059,29012,1
2060,29013,49
2061,29014,7
2062,29015,9
2063,29016,3
2064,29017,6
2065,29018,22
2066,29019,13
2067,29020,6
2068,29021,9
2069,29022,4
2070,29023,24
2071,29024,16
2072,29025,60
2073,29026,11
2074,29027,12
2075,29028,21
2076,29029,15
2077,29030,0
2078,29031,15
2079,29032,4
2080,29033,159
2081,29034,23
2082,29035,3
2083,29036,12
2084,29037,1
2085,29038,8
2086,29039,9
2087,29040,7
2088,29041,28
2089,29042,14
2090,29043,21
2091,29044,67
2092,29045,1
2093,29046,1
2094,29047,0
2095,29048,12
2096,29049,3
2097,29050,3
2098,29051,2
2099,29052,4
2100,29053,3
2101,29054,6
2102,29055,2
2103,29056,3
2104,29057,1
2105,29058,5
2106,29059,6
2107,29060,1
2108,30001,25
2109,30002,3
2110,30003,224
2111,30004,31
2112,30005,2
2113,30006,40
2114,30007,2
2115,30008,12
2116,30009,19
2117,30010,126
2118,30011,76
2119,30012,8
2120,30013,58
2121,30014,85
2122,30015,38
2123,30016,88
2124,30017,1
2125,30018,11
2126,30019,5
2127,30020,6
2128,30021,23
2129,30022,11
2130,30023,53
2131,30024,11
2132,30025,6
2133,30026,75
2134,30027,12
2135,30028,547
2136,30029,8
2137,30030,54
2138,30031,9
2139,30032,59
2140,30033,10
2141,30034,16
2142,30035,8
2143,30036,11
2144,30037,0
2145,30038,162
2146,30039,814
2147,30040,53
2148,30041,6
2149,30042,2
2150,30043,8
2151,30044,458
2152,30045,113
2153,30046,4
2154,30047,39
2155,30048,262
2156,30049,30
2157,30050,3
2158,30051,5
2159,30052,14
2160,30053,46
2161,30054,10
2162,30055,11
2163,30056,5
2164,30057,6
2165,30058,51
2166,30059,22
2167,30060,7
2168,30061,160
2169,30062,18
2170,30063,3
2171,30064,1
2172,30065,221
2173,30066,21
2174,30067,2
2175,30068,147
2176,30069,34
2177,30070,5
2178,30071,90
2179,30072,27
2180,30073,32
2181,30074,19
2182,30075,6
2183,30076,5
2184,30077,87
2185,30078,7
2186,30079,0
2187,30080,26
2188,30081,36
2189,30082,21
2190,30083,26
2191,30084,8
2192,30085,84
2193,30086,54
2194,30087,1487
2195,30088,2
2196,30089,47
2197,30090,12
2198,30091,32
2199,30092,49
2200,30093,21
2201,30094,54
2202,30095,9
2203,30096,0
2204,30097,31
2205,30098,0
2206,30099,85
2207,30100,26
2208,30101,32
2209,30102,242
2210,30103,11
2211,30104,2
2212,30105,152
2213,30106,4
2214,30107,0
2215,30108,375
2216,30109,89
2217,30110,7
2218,30111,25
2219,30112,25
2220,30113,4
2221,30114,20
2222,30115,59
2223,30116,34
2224,30117,36
2225,30118,241
2226,30119,12
2227,30120,14
2228,30121,23
2229,30122,4
2230,30123,185
2231,30124,216
2232,30125,45
2233,30126,22
2234,30127,14
2235,30128,284
2236,30129,18
2237,30130,23
2238,30131,429
2239,30132,34
2240,30133,72
2241,30134,35
2242,30135,15
2243,30136,14
2244,30137,4
2245,30138,58
2246,30139,2
2247,30140,3
2248,30141,210
2249,30142,14
2250,30143,56
2251,30144,36
2252,30145,21
2253,30146,2
2254,30147,4
2255,30148,22
2256,30149,11
2257,30150,6
2258,30151,10
2259,30152,18
2260,30153,9
2261,30154,11
2262,30155,148
2263,30156,3
2264,30157,19
2265,30158,25
2266,30159,8
2267,30160,141
2268,30161,44
2269,30162,2
2270,30163,1
2271,30164,16
2272,30165,2
2273,30166,4
2274,30167,5
2275,30168,9
2276,30169,8
2277,30170,7
2278,30171,3
2279,30172,24
2280,30173,35
2281,30174,158
2282,30175,158
2283,30176,7
2284,30177,21
2285,30178,5
2286,30179,4
2287,30180,6
2288,30181,36
2289,30182,21
2290,30183,111
2291,30184,3
2292,30185,3
2293,30186,4
2294,30187,1
2295,30188,10
2296,30189,382
2297,30190,1
2298,30191,45
2299,30192,24
2300,30193,1774
2301,30194,27
2302,30195,2
2303,30196,25
2304,30197,6
2305,30198,7
2306,30199,5
2307,30200,13
2308,30201,38
2309,30202,5
2310,30203,5
2311,30204,105
2312,30205,24
2313,30206,62
2314,30207,93
2315,30208,24
2316,30209,9
2317,30210,13
2318,30211,47
2319,30212,7
2320,30998,0
2321,30999,0
2322,31001,1
2323,31002,2
2324,31003,10
2325,31004,4
2326,31005,0
2327,31006,1
2328,31007,1
2329,31008,0
2330,31009,4
2331,31010,0
2332,31011,3
2333,31012,0
2334,31013,1
2335,31014,0
2336,31015,0
2337,31016,1
2338,31017,0
2339,31018,0
2340,31019,3
2341,31020,1
2342,31021,1
2343,31022,0
2344,31023,6
2345,31024,1
2346,31025,2
2347,31026,1
2348,31027,4
2349,31028,0
2350,31029,0
2351,31030,0
2352,31031,0
2353,31032,0
2354,31033,9
2355,31034,0
2356,31035,3
2357,31036,1
2358,31037,4
2359,31038,19
2360,31039,1
2361,31040,21
2362,31041,49
2363,31042,3
2364,31043,1
2365,31044,2
2366,31045,0
2367,31046,0
2368,31047,1
2369,31048,13
2370,31049,0
2371,31050,884
2372,31051,2
2373,31052,22
2374,31053,3
2375,31054,0
2376,31055,0
2377,31056,15
2378,31057,1
2379,31058,4
2380,31059,40
2381,31060,0
2382,31061,0
2383,31062,1
2384,31063,0
2385,31064,0
2386,31065,0
2387,31066,0
2388,31067,1
2389,31068,0
2390,31069,1
2391,31070,1
2392,31071,1
2393,31072,0
2394,31073,0
2395,31074,2
2396,31075,1
2397,31076,0
2398,31077,2
2399,31078,1
2400,31079,43
2401,31080,1
2402,31081,0
2403,31082,2
2404,31083,2
2405,31084,2
2406,31085,5
2407,31086,0
2408,31087,4
2409,31088,0
2410,31089,21
2411,31090,2
2412,31091,0
2413,31092,0
2414,31093,0
2415,31094,0
2416,31095,0
2417,31096,14
2418,31097,2
2419,31098,6
2420,31099,0
2421,31100,0
2422,31101,39
2423,31102,70
2424,31103,3
2425,31104,1
2426,31105,0
2427,31106,1
2428,32001,10
2429,32002,6
2430,32003,3
2431,32004,4
2432,32005,239
2433,32006,5
2434,32007,33
2435,32008,39
2436,32009,5
2437,32010,1326
2438,32011,13
2439,32012,12
2440,32013,30
2441,32014,17
2442,32015,8
2443,32016,33
2444,32017,1368
2445,32018,6
2446,32019,73
2447,32020,235
2448,32021,2
2449,32022,37
2450,32023,15
2451,32024,109
2452,32025,42
2453,32026,12
2454,32027,0
2455,32028,1
2456,32029,21
2457,32030,8
2458,32031,9
2459,32032,41
2460,32033,11
2461,32034,30
2462,32035,15
2463,32036,131
2464,32037,39
2465,32038,163
2466,32039,65
2467,32040,19
2468,32041,0
2469,32042,137
2470,32043,4
2471,32044,21
2472,32045,20
2473,32046,18
2474,32047,29
2475,32048,128
2476,32049,70
2477,32050,16
2478,32051,68
2479,32052,8
2480,32053,12
2481,32054,20
2482,32055,156
2483,32056,1595
2484,32057,61
2485,32058,5
