,CVEGEO,crime
393,12017,2
394,12018,14
395,12019,7
396,12020,4
397,12021,105
398,12022,19
399,12023,31
400,12024,2
401,12025,6
402,12026,0
403,12027,7
404,12028,36
405,12029,1285
406,12030,28
407,12031,2
408,12032,7
409,12033,18
410,12034,60
411,12035,467
412,12036,20
413,12037,6
414,12038,404
415,12039,69
416,12040,13
417,12041,8
418,12042,0
419,12043,14
420,12044,3
421,12045,13
422,12046,133
423,12047,0
424,12048,35
425,12049,16
426,12050,37
427,12051,2
428,12052,26
429,12053,50
430,12054,1
431,12055,172
432,12056,19
433,12057,77
434,12058,67
435,12059,61
436,12060,1
437,12061,51
438,12062,7
439,12063,1
440,12064,1
441,12065,0
442,12066,177
443,12067,12
444,12068,74
445,12069,3
446,12070,14
447,12071,9
448,12072,0
449,12073,7
450,12074,0
451,12075,112
452,12076,0
453,12077,21
454,12078,12
455,12079,1
456,12080,13
457,12081,4
458,12082,0
459,12083,0
460,12084,0
461,12085,0
462,13001,20
463,13002,98
464,13003,302
465,13004,23
466,13005,12
467,13006,33
468,13007,40
469,13008,260
470,13009,37
471,13010,194
472,13011,7
473,13012,86
474,13013,213
475,13014,6
476,13015,9
477,13016,90
478,13017,18
479,13018,22
480,13019,25
481,13020,1
482,13021,75
483,13022,52
484,13023,84
485,13024,57
486,13025,10
487,13026,4
488,13027,19
489,13028,99
490,13029,140
491,13030,253
492,13031,13
493,13032,4
494,13033,0
495,13034,11
496,13035,17
497,13036,10
498,13037,31
499,13038,25
500,13039,50
501,13040,3
502,13041,166
503,13042,20
504,13043,0
505,13044,19
506,13045,33
507,13046,11
508,13047,3
509,13048,2097
510,13049,1
511,13050,110
512,13051,700
513,13052,97
514,13053,22
515,13054,70
516,13055,25
517,13056,97
518,13057,69
519,13058,22
520,13059,26
521,13060,40
522,13061,253
523,13062,10
524,13063,349
525,13064,16
526,13065,14
527,13066,66
528,13067,138
529,13068,6
530,13069,1002
531,13070,76
532,13071,3
533,13072,36
534,13073,18
535,13074,144
536,13075,117
537,13076,528
538,13077,778
539,13078,5
540,13079,6
541,13080,7
542,13081,45
543,13082,142
544,13083,196
545,13084,73
546,14001,17
547,14002,70
548,14003,43
549,14004,3
550,14005,21
551,14006,122
552,14007,20
553,14008,76
554,14009,66
555,14010,3
556,14011,5
557,14012,6
558,14013,49
559,14014,8
560,14015,91
561,14016,27
562,14017,1
563,14018,57
564,14019,0
565,14020,10
566,14021,14
567,14022,41
568,14023,244
569,14024,47
570,14025,17
571,14026,5
572,14027,10
573,14028,1
574,14029,8
575,14030,129
576,14031,2
577,14032,2
578,14033,23
579,14034,2
580,14035,64
581,14036,14
582,14037,30
583,14038,7
584,14039,6831
585,14040,17
586,14041,12
587,14042,6
588,14043,24
589,14044,80
590,14045,12
591,14046,33
592,14047,26
593,14048,11
594,14049,1
595,14050,72
596,14051,74
597,14052,6
598,14053,467
599,14054,1
600,14055,43
601,14056,2
602,14057,2
603,14058,23
604,14059,36
605,14060,4
606,14061,5
607,14062,1
608,14063,116
609,14064,39
610,14065,5
611,14066,44
612,14067,891
613,14068,6
614,14069,2
615,14070,888
616,14071,5
617,14072,3
618,14073,47
619,14074,4
620,14075,11
621,14076,1
622,14077,39
623,14078,29
624,14079,31
625,14080,2
626,14081,7
627,14082,48
628,14083,202
629,14084,5
630,14085,27
631,14086,24
632,14087,9
633,14088,19
634,14089,6
635,14090,2
636,14091,19
637,14092,6
638,14093,199
639,14094,67
640,14095,14
641,14096,36
642,14097,1967
643,14098,2983
644,14099,8
645,14100,22
646,14101,1464
647,14102,6
648,14103,10
649,14104,1
650,14105,24
651,14106,1
652,14107,12
653,14108,43
654,14109,11
655,14110,15
656,14111,9
657,14112,3
658,14113,15
659,14114,33
660,14115,4
661,14116,11
662,14117,2
663,14118,21
664,14119,43
665,14120,3553
666,14121,52
